srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo_x,B_rgeo_xa,rpgeo,b_rpgeo_x,B_rpgeo_xa,Flag,angDist
205031701010238,271.01052901009,-21.6080972980146,STAR,0.498,,,,,,,8.425667280652844,0.11356650101985538,4070059310634222080,271.01037297492,-21.60802051693,1030.62012,1001.67712,1063.78113,1040.42175,1007.54688,1080.07898,10033,0.590889
205031701015091,270.955888861092,-21.6932697473363,STAR,0.406,,,,,,,8.32653162438416,0.11594441466492347,4069964512122904192,270.95569711831,-21.6931945914,849.68866,821.613464,880.669373,844.102112,820.037109,878.187012,10033,0.696118
205031701015173,270.818602575233,-21.6126928235261,STAR,0.541,,,,,,,8.333914901652268,0.26667453899458243,4069969116327999360,270.81867725606,-21.61287425659,534.205933,525.243774,544.042603,533.700134,525.830139,542.965332,10033,0.699351
205031701015217,270.935644330692,-21.7157383081411,QSO,0.475,,,STAR,1.0,,,8.297718810515411,0.12127826403117799,4069964374676131968,270.93566058429,-21.71571145085,3638.2876,2556.46313,4805.08594,3440.38208,2643.9248,5426.69336,10033,0.11092
205031702010074,270.78440090469,-21.646930292226,GALAXY,0.72,,,,,,,8.288459951534064,0.2774872938724045,4069967570139966336,270.78453935157,-21.64699806181,778.674561,733.935547,818.983826,783.320923,753.294067,831.272705,10033,0.523574
205031702010147,270.97468609068,-21.540837066883,GALAXY,0.622,,,,,,,8.467871963020368,0.1756448578284321,4070063090187194880,270.97467488044,-21.54091005567,2643.28613,1546.99011,4224.09277,,,,20099,0.265427
205031702010179,271.0394110119,-21.723090081526,QSO,0.515,,,,,,,8.3386837221855,0.033706081792970126,4069916992601663744,271.03945822772,-21.72310740771,918.81897,894.749146,943.540649,921.995728,896.465759,953.453125,10033,0.169779
205031703015165,271.1704778505,-21.683379254572,GALAXY,0.592,,,STAR,1.0,,,8.43304100076648,-0.05291367929050367,4070010451089607296,271.17035429685,-21.68322939895,2657.8374,1614.7074,4000.84204,4107.91846,2985.90894,5159.04248,10033,0.679612
205038501010043,270.18258121547,-24.083585953898,GALAXY,0.617,,,,,,,5.896172058243191,-0.4448483812059572,4069055452211757824,270.18246292732,-24.08360891592,4105.37891,2323.64062,6057.89111,2252.98145,1656.31226,3294.77222,10033,0.39746
205038501010070,269.99674420935,-24.127256613696,GALAXY,0.614,,,,,,,5.774028960270215,-0.3192952305265919,4069035252989138432,269.9969362454,-24.1272910335,1714.84656,1337.80566,2273.60352,1654.5636,1340.61938,2065.22876,10033,0.642988
205038501010174,270.18020814402,-24.030419508445,QSO,0.629,,,,,,,5.941263631083393,-0.4165953887094334,4069056723517706368,270.18034530675,-24.03044784688,1462.95703,1380.41187,1562.25024,1434.34485,1345.28784,1520.89099,10033,0.462384
205038501010295,270.21257251075,-24.264735304136,GALAXY,0.656,,,,,,,5.752429039374611,-0.5584408843769152,4069014877653580032,270.21265904444,-24.26470270664,4039.08398,1949.19348,5908.26514,3710.71191,2595.56323,5462.20459,10033,0.307291
205038501010340,270.21208793115,-24.123698986132,GALAXY,0.601,,,,,,,5.874695229982739,-0.48812967768941656,4069043357582739200,270.21215341659,-24.12381119583,3176.59741,1881.4906,4616.23926,2981.69312,2317.6123,4036.49707,10033,0.457682
205038501010391,270.20608749652,-23.840266940056,QSO,0.58,,,STAR,0.985,,,6.118117375414971,-0.3428279626150527,4069063458033662208,270.2060640179,-23.84015888716,3427.177,2041.84265,5420.61719,3657.32837,2784.00757,5109.0874,10033,0.396599
205038501010412,269.97084331509,-24.233324102062,GALAXY,0.711,,,,,,,5.670251900233455,-0.3515334567617897,4069029785484953344,269.97068921855,-24.23329430939,4271.6958,2911.86377,6605.26318,2838.39526,2360.14746,4308.87988,10033,0.517109
205038501010438,270.11936989955,-24.045438369847,QSO,0.499,,,,,,,5.90065270788004,-0.3758087989539657,4069056452942143488,270.11933414592,-24.04562190943,1038.87231,676.858948,2030.50818,3521.43677,2497.65283,5696.37354,20033,0.671116
205038501010483,270.26550535809,-24.007953556743,QSO,0.546,,,,,,,5.99940183086084,-0.4731200463559128,4069057655539668352,270.26564338327,-24.00803938605,2796.81396,2061.80786,3866.56787,2216.40649,1799.0249,2737.21948,10033,0.549091
205038501010493,270.04884282944,-24.074715503919,QSO,0.464,,,,,,,5.843258251094122,-0.33445111422823043,4069035832796658688,270.04874589451,-24.07464164253,2265.74463,1844.0415,2943.86523,1866.28223,1612.66809,2138.13525,10033,0.414989
205038501010495,270.11969008167,-24.228735276369,STAR,0.541,,,,,,,5.74167319253383,-0.46704874469973173,4069018824725783936,270.11961397498,-24.22874079959,1917.50134,1661.07739,2157.7876,1731.75928,1548.40271,1938.34729,10033,0.25064
205038501010510,270.2551603346,-23.958605317636,QSO,0.533,,,,,,,6.0375823860045355,-0.4404562350432779,4069058892475333632,270.25503940273,-23.95855981894,2546.38086,1934.49158,3408.60864,2287.83496,1818.16528,3055.3269,10033,0.430243
205038501010519,270.11271351259,-24.126396022489,GALAXY,0.462,,,,,,,5.827356146536009,-0.4107220760766183,4069031782645142912,270.11266549504,-24.12650888374,2714.86182,1061.3385,6986.52539,,,,10099,0.435855
205038501015031,270.2324866141,-24.089114768914,GALAXY,0.959,,,,,,,5.91396254048062,-0.48715464447621437,4069043842917835136,270.232638431,-24.08899243259,4184.60547,2581.59009,5701.86182,4705.59326,3702.21729,6797.69189,10033,0.665512
205038501015465,270.06540430786,-24.190681211819,GALAXY,0.749,,,,,,,5.75012004920296,-0.40517675859665603,4069031129806412544,270.06526200715,-24.19075882899,4241.02539,3085.89429,5527.24072,3101.90063,2439.87378,4254.54492,10033,0.544466
